Columns,Run123,Run124,Run125,Run126,Run127,Run128,Run129,Run130,Run131,Run132,Run133,Run134,Run135,Run136,Run137,Run138,Run139,Run140,Run141,Run142,Run143,Run144,Run145,Run146,Run147,Average,SD
Composition of Polarity(3):,0.010715018816284635,0.005761732649525045,0.0,0.011810776942355888,0.07853130137778283,0.03983739837398374,0.05103189493433395,0.005043183562814544,0.01148037730316211,0.01757290305715562,0.05227157572171909,0.002682701202590194,0.004414621518069805,0.09225468419727093,0.055060298393631725,0.09280477467213807,0.042929416435613994,0.04583506667923145,0.03937533274179236,0.05549208535166381,0.08534409647593783,0.027980658117644407,0.0,0.0,0.05243764073534248,0.03522670157040178,0.02992863254956687
Composition of Charge(1):,0.01925877273910484,0.0,0.006898025551684089,0.0,0.0,0.0,0.0,0.0,0.12538592040322588,0.14079932649168755,0.012127500585195456,0.08808241795311159,0.044613747832128174,0.08079812185669207,0.07904023145249113,0.04743299783442513,0.026325910931174097,0.04923520599418844,0.030991281019450034,0.0,0.03880708795963034,0.011488773691506407,0.0,0.04881613345957927,0.019866858937637046,0.034798732587716465,0.03955028918450916
Composition of Solvent accessibility(1):,0.006743338360985417,0.007810803018069884,0.08109840650294312,0.005097468984223276,0.03413896853208736,0.054386648209548596,0.038415568979112004,0.04775740617070498,0.0,0.02793692605381598,0.004023515579071137,0.0,0.0034097589653145207,0.03413372556229699,0.06159582189483932,0.03803142520836633,0.013809785140336747,0.003708419457075928,0.018185943794130927,0.027362050611478523,0.0,0.0,0.0,0.09382818441155051,0.04041734099436281,0.025675660257212574,0.02611001840015389
Composition of Charge(2):,0.009405712109100217,0.035397109750618834,0.056249941015618796,0.0055407967094600625,0.04039853007909444,0.01566229116662257,0.04940135203549837,0.02144261695906434,0.0,0.009060508767113498,0.060813090777336966,0.0,0.010392396459221898,0.04589502448192554,0.057992803389446027,0.03280462706692215,0.0042843536042136985,0.0,0.0515729575511105,0.0,0.0,0.031714542193907416,0.0,0.029834549012631204,0.02647843869865647,0.02377366567310252,0.020874158441594026
Composition of No. of hydrogen bond acceptor in side chain(3):,0.022139924734861448,0.03924883113229198,0.05327032839157958,0.041286432907719925,0.0,0.016138072797625636,0.08039310485867332,0.055690397283320224,0.0,0.012911779578446237,0.040825672295184495,0.0,0.0,0.0,0.010044636255988268,0.019865746341232,0.037037054388496395,0.0,0.009174544120066309,0.0,0.005484412984412979,0.04843951305822252,0.0006178977272727281,0.05442344676810676,0.044839718123238406,0.02367326054986957,0.023256430146002906
Composition of Normalized vdW volumes(3):,0.029562437793328112,0.0038535154399924137,0.0,0.05072088726437681,0.08356136810675667,0.0,0.01204571287373363,0.034260787416472746,0.0,0.0,0.04513880918301252,0.04737759869276809,0.003356481481481482,0.044794468361015895,0.003534772913001927,0.0,0.0011614803953513635,0.00395178197064989,0.0,0.0,0.05567453811976042,0.13596498975278698,0.016117244773429563,0.006140123018109642,0.0,0.023088679902241126,0.03264882178133882
Composition of Polarizability(3):,0.0019842627437564146,0.03756884499629109,0.04859380799122549,0.04648319271887376,0.006096231703519154,0.04349186239644044,0.0,0.0319758264570265,0.0,0.0,0.018652797377569093,0.0,0.003921222810111702,0.045686913091251787,0.0,0.0,0.026961486225918412,0.033134672854599284,0.0,0.05315820510277756,0.0,0.0,0.03903302579773168,0.0642502397827856,0.04615341202270382,0.021885840162903274,0.02172265010795178
Composition of Hydrophobicity(1):,0.09542581238039678,0.0,0.025399745694633463,0.0,0.011996961345991822,0.04151861597481803,0.0,0.0,0.003167523779183544,0.0,0.0,0.03143125371958323,0.04071232229962389,0.03617239271419838,0.04952721228375152,0.0,0.0036030582988212773,0.0076049792829874716,0.0,0.03632332707942465,0.0035274696631816755,0.033408020550877694,0.04575875352933632,0.06607412811233006,0.000576343201754386,0.021289116796435765,0.025047041039133036
Composition of CLogP(1):,0.03532318376068376,0.0,0.014331191666619789,0.0491767680760493,0.05313274817990066,0.05502197744902189,0.03383513525493711,0.043319174670837526,0.0035962301587301607,0.023433623349972323,0.0028234148716076426,0.0,0.026721774732110664,0.01638271162123386,0.0,0.0,0.04533895265423242,0.0,0.04705864511361115,0.0,0.007546760639739768,0.0,0.009710549719800406,0.02424421469610635,0.0,0.01963988226460779,0.019658959748956602
Composition of No.of hydrogen bond donnor in side chain(3):,0.010275872971553218,0.06247442311587048,0.03769070121411632,0.013871173469387755,0.0,0.0,0.008680709534368069,0.03944017827083703,0.009773726474331865,0.007935439046550152,0.0,0.05479947379072834,0.04926278010780886,0.00691116019645335,0.04582772850027943,0.0,0.0,0.0,0.0,0.0017514518002322878,0.025772511480546795,0.0071763333668095645,0.0354388409340445,0.0036769153638534923,0.04870632140623397,0.01877862964176022,0.02052644810842964
Distribution of Solvent accessibility(4):,0.0358286190220978,0.0,0.0010599415204678364,0.0,0.045962732919254665,0.0,0.0,0.010555262790290182,0.031181775035595643,0.0,0.003511716099445103,0.08806215613438412,0.003744619799139169,0.01045979581190849,0.0,0.0,0.038928137003841234,0.0229945422716507,0.044952317818368795,0.00945605218775949,0.0,0.08940467740467742,0.0,0.0,0.01693048626316996,0.018121313283282023,0.025765381700675615
Composition of CLogP(3):,0.017179764015207058,0.02879041054222229,0.01691666666666667,0.0,0.0,0.03383569562909594,0.005809076682316118,0.0,0.012622275815378971,0.06448058279283678,0.0312287261959368,0.0,0.0,0.032185267722409996,0.028538987219601804,0.0,0.009489749947496417,0.0,0.025180457571722194,0.03573531869868622,0.012985175568839926,0.033146893505972094,0.0163801249168254,0.0,0.007416996448503303,0.01647688679758872,0.016169170424138346
