Columns,Run123,Run124,Run125,Run126,Run127,Run128,Run129,Run130,Run131,Run132,Run133,Run134,Run135,Run136,Run137,Run138,Run139,Run140,Run141,Run142,Run143,Run144,Run145,Run146,Run147,Average,SD
Composition of No.of hydrogen bond donnor in side chain(1):,0.05451200821546674,0.050640577449006706,0.03884433056510415,0.057188628125885696,0.03953619804934727,0.040668648122465054,0.057002665618267036,0.03699907374562647,0.053615233919805,0.03691688181776227,0.049363992961020176,0.05318260852092305,0.04433404324616539,0.04019670249855151,0.05370513311010205,0.04855169060870551,0.05546115739221193,0.04847381047521455,0.04501729233311411,0.04766989183157897,0.04628155681298548,0.07059416271531789,0.0553468108747871,0.041592147802382344,0.03569734216160052,0.04805570355893587,0.00814867130716767
Composition of No. of hydrogen bond acceptor in side chain(3):,0.041215604616787416,0.03982252595023293,0.04272024835250041,0.040575185632723616,0.03772742339011779,0.03549526098618556,0.046122357187504945,0.04865504171548923,0.03693347643575158,0.041142848746871054,0.04307527565443126,0.03850944114355095,0.04647800420455496,0.035222198028645166,0.03432058768681733,0.03805727078181395,0.038787708494554936,0.04177337340125705,0.035803535418386705,0.03832564875239521,0.03252815921800198,0.03913496538553368,0.03769232146942964,0.045144561422224075,0.05226307093704031,0.04030104380051207,0.0046122218017364556
Composition of No.of hydrogen bond donnor in side chain(3):,0.050358775739197885,0.03351802582944132,0.048285428656062834,0.034216449097727634,0.03625820277640588,0.035436655456391915,0.045698561830488,0.03418628219284972,0.03659728802010037,0.04485788001494526,0.03918958578736768,0.055373688480829984,0.029297650108302854,0.044951690085964946,0.03403816919817218,0.04262667394950181,0.034755188219185905,0.042069029526346,0.04699091193197725,0.04713019185267486,0.037194304359603664,0.04000832446070927,0.04155468808756828,0.033866737481484374,0.03630146325326815,0.04019047385586272,0.006319438356081766
Composition of CLogP(1):,0.03531651412813129,0.02592994985374134,0.028454065887505327,0.034159261512446845,0.0369142400524944,0.04655144357026082,0.04097795338550003,0.04479696941650325,0.029851969671203002,0.04043549829741729,0.03155126822542207,0.031083587043647137,0.04029838216939057,0.034486145383610514,0.03497609947625796,0.04145626955291306,0.03979996986475523,0.04521677593391791,0.035018518305480396,0.03559218440366655,0.030641483589247853,0.04376072785111883,0.022650728992481484,0.041439317102714035,0.03677509063974616,0.03632537657238293,0.006081984894513512
Composition of Solvent accessibility(1):,0.03000079515980634,0.04435608491474452,0.036653390338069275,0.038247376614311546,0.031051414959345634,0.041210081347567,0.04343442083812082,0.035191443367650316,0.03592352157198712,0.03213491835344168,0.03385661791081156,0.0447581672896205,0.03221226952498444,0.045325888045740004,0.02453909113777901,0.0392031704335957,0.03985532958382889,0.032381149659770375,0.030135193106729047,0.03979641841796616,0.03563826330097626,0.03089358223940427,0.03185938729284615,0.02955606626910781,0.046666969449494056,0.03619524044510794,0.005770619156803427
Composition of Polarity(3):,0.03515852585040792,0.048319486167650666,0.03957131590684111,0.03808062202561877,0.04071059368221065,0.03220604894244671,0.026935090964449244,0.033759597109133066,0.028605150158078515,0.03767807991622585,0.048644417956260386,0.03137695698267492,0.026142752737752545,0.028296190061810816,0.04302883065444222,0.030650795501546643,0.030488828258411968,0.030708297712303774,0.048139942798735194,0.043574246561484294,0.03577883306679501,0.03313569941636519,0.030494390945242776,0.0297129112476208,0.031219407739876852,0.03529668049457543,0.00668827449451398
Isoelectric,0.02378260170851966,0.026332999688462914,0.018804260360248595,0.03114334163108003,0.023103997561742376,0.02549466323644466,0.017499873729355523,0.030503274218329456,0.028370899273398708,0.02151768070507447,0.021235244150514677,0.020446066398025146,0.023527276764810666,0.022744424357440483,0.019080879409984274,0.02553641253778112,0.027733575175613076,0.022953271197055352,0.022561161128937204,0.020946404396313328,0.02252237905615731,0.021079136883764345,0.0302021872653748,0.027874470969552614,0.023769522094280637,0.023950640155930455,0.003663927279041943
Composition of Normalized vdW volumes(3):,0.022251742706729707,0.01613058491362213,0.021040708018453876,0.017796721363737018,0.015042648335987003,0.02247117854966,0.013913509657671049,0.02493744500942282,0.02004566344844017,0.021572060762503818,0.026535727052937344,0.022900435659071083,0.023233676406231352,0.020182498476912402,0.02344222001754055,0.017596540595947882,0.024119025826619633,0.025087572739172795,0.01666361986766998,0.019959704224230195,0.021691866168344988,0.018732405761800026,0.019255118905631086,0.017599238226622686,0.014978633738468427,0.020287221857337123,0.00339249431374157
Composition of Polarizability(3):,0.021951476827710766,0.017597800571236725,0.01755381286011321,0.01641469880561531,0.020771860670003355,0.019573423835380886,0.020761010548897493,0.01730053648570013,0.02201726600960428,0.02462233131151226,0.013977157602073768,0.017628467131457857,0.021029439478641405,0.020395120965951852,0.011543086130897605,0.01787093573479738,0.015704460254286123,0.02037532576585316,0.02684198305199212,0.01243660209709604,0.023194745176992836,0.011439717730409967,0.018827492939596114,0.02373673691951683,0.019651239748896487,0.018928669146169357,0.0038705257621328183
Transition of No.of hydrogen bond donnor in side chain(1):,0.01662807737122639,0.01641271110840624,0.018293468362094167,0.01806455616335443,0.01714737442554182,0.018462159546874017,0.00984056628384482,0.012927664601770446,0.01716909807558965,0.020471045538503867,0.01769909434393836,0.01273181142897507,0.020620095797556658,0.01344075701318924,0.017154668503413247,0.017668813230689084,0.021597632302952387,0.017137700894460463,0.014060869880963923,0.016813812058125155,0.015286392501655479,0.014522591464740804,0.02365674680553218,0.02022659567747916,0.014450158629946662,0.016899378480432947,0.003034430281173032
