Columns,Run123,Run124,Run125,Run126,Run127,Run128,Run129,Run130,Run131,Run132,Run133,Run134,Run135,Run136,Run137,Run138,Run139,Run140,Run141,Run142,Run143,Run144,Run145,Run146,Run147,Average,SD
R,0.020407909148945625,0.032007546475511454,0.025256214495483723,0.029551581120274784,0.024210218555151222,0.026660265152481582,0.0293953518532027,0.02707279185921093,0.02724789680513623,0.02964175391106138,0.027018210669213324,0.02121146249579338,0.02766088441137051,0.023352480890195513,0.02040101030562792,0.022070912807023193,0.029668601097502034,0.027800069743341788,0.026403993909999188,0.029569912964108318,0.02609207271766951,0.031848711082961514,0.0284877556444087,0.0239365044444026,0.022311255728293247,0.026371414731534815,0.003326353560316968
Distribution of No.of hydrogen bond donnor in side chain(12):,0.01705360109508921,0.018498456670179426,0.022282837070723455,0.020692198297620593,0.024141463048531903,0.01918588318226068,0.018106985528301332,0.02162646384696273,0.019881898723009318,0.02749844729499539,0.021102046198787087,0.021536209486330803,0.021100061753932756,0.020286301430531825,0.022331176527690226,0.027543336112642328,0.02338124583030356,0.023372484693349828,0.026113508917703233,0.01771522879685776,0.01936889724429894,0.01850976021805773,0.021279403115850005,0.01823806194011858,0.018465940446938934,0.021172475898842705,0.002862594503925563
Isoelectric,0.023136458498243032,0.018843909282933027,0.018264097478885223,0.024633196606317555,0.022322465872572653,0.019825428388043034,0.02289748441520925,0.022839948732760573,0.015918665399954523,0.02415264380754124,0.016895095370540708,0.019739167215048335,0.020631876499937127,0.02667058922322025,0.021860895366785534,0.019105573183452726,0.023459594873021114,0.024004642359966813,0.01882465861311939,0.02024372742962879,0.020482560564997726,0.01683792286081823,0.022962895153693354,0.021009265979568568,0.022287253095066756,0.02111400065085302,0.0026381079765313725
Distribution of No. of hydrogen bond acceptor in side chain(12):,0.021836732261892457,0.02455687056340734,0.023317106811250106,0.02426380657431462,0.027043834097333002,0.020911402190943836,0.022754159926487758,0.01758853503052571,0.023430895136415043,0.02419236473752339,0.022396556951144553,0.020973465253206106,0.018873816784922358,0.023230180010979408,0.014877047441475118,0.02481995613358995,0.019124645536261267,0.018790019424685427,0.018659206577633418,0.017447244639917488,0.023761787513681867,0.016270271458468526,0.017629773855411146,0.015083385408038523,0.02285262666485812,0.020987427639374664,0.003265244178914787
Composition of No.of hydrogen bond donnor in side chain(1):,0.02512987412521233,0.016902947418697023,0.01950028094075188,0.022474158324588947,0.016384123199015405,0.018163673253812164,0.02307565191192562,0.015488841985929128,0.018319647191828565,0.017904698333651096,0.022776521261595822,0.018711788884130883,0.020032361513884094,0.01668157947235271,0.019902996540729207,0.0165925788534027,0.02365287521169358,0.021029769251661858,0.02355043464949829,0.021930680890177225,0.023503229207237672,0.026238087125630357,0.02217623771713265,0.021134503489376455,0.018616182472336876,0.020394948929050104,0.002923781890528642
Distribution of No.of hydrogen bond donnor in side chain(9):,0.019937292584095736,0.0200776112260989,0.024563418889492476,0.01896165517499706,0.019798798688911545,0.02174335845576396,0.01615594049705235,0.016498306220171254,0.024533733728180185,0.019116816098512766,0.024191706345289585,0.014715176243209489,0.02313655206305909,0.017691268175897768,0.024410506006576262,0.02215758258354099,0.019277965525217038,0.01812864887475073,0.018789773187287983,0.01609997554450895,0.017350047697424986,0.0178701307536878,0.01951922785268526,0.023000587911194446,0.019330275570210154,0.019882254235912673,0.002826553417622672
Distribution of No. of hydrogen bond acceptor in side chain(9):,0.017376789005120498,0.02160886845093345,0.020223560339725007,0.0151142466690804,0.02350434429049781,0.021331866676634215,0.0162965817455969,0.018653593112532982,0.02237851924351752,0.017275803196914016,0.018686057352162503,0.017715739500974735,0.01812891340102758,0.024622412925154387,0.022851538315288134,0.01796068620061428,0.015540275532405175,0.01755886314384336,0.02136747053030516,0.02600388335642709,0.01871130371604616,0.018188781546272206,0.02206460240499029,0.023094361808114534,0.019119338308766262,0.019815136030917786,0.0028468810615157455
Distribution of Normalized vdW volumes(11):,0.0203691039268197,0.017734391738743235,0.019774983151403663,0.017519510324577416,0.020029417497367807,0.01845968777137524,0.0161602667579173,0.014098068617955048,0.01608978923919963,0.01726116720776254,0.019571279048081116,0.02367883253634905,0.020247665254320906,0.018410615647370992,0.017654656746566803,0.016557948811521107,0.01969405261760984,0.018602555509235032,0.015085131847147156,0.022039715273403183,0.015681906897249995,0.021220149055313546,0.01781114222835589,0.018558482989983232,0.018280498786333976,0.018423640779278536,0.002173176538973501
Distribution of Solvent accessibility(4):,0.021764510512831403,0.014385097571954357,0.016857302320804794,0.01971265796872998,0.019075255082561735,0.016597826709348038,0.016280731344169495,0.021634766547105697,0.02162320517084357,0.012864516370256821,0.01862705813205925,0.01741451892812917,0.020393372508574422,0.018927621297681232,0.015779984373143468,0.0204145645372467,0.018134796801255352,0.02106387610689507,0.018779147917514942,0.016327979551296275,0.01867717570438359,0.01926255037986416,0.014437549304146409,0.01976084628840786,0.016545437309672253,0.018213693949555042,0.002366249213037757
Composition of Charge(1):,0.01643362074029315,0.021535636036942887,0.01889182900467261,0.020073405105021192,0.014622690125942021,0.020571975898747537,0.01887048687893598,0.017733522467933176,0.01941295462830077,0.019096590456090207,0.01354908452420811,0.018635413629544142,0.017135349139080654,0.017128659969515278,0.018409147053804323,0.016511083894020936,0.017899672267271644,0.017729920942728784,0.016504006003452,0.01591553574510985,0.01935009070913893,0.014991088365661072,0.0177214872942729,0.020323916943248387,0.019319715551102547,0.017934675335001565,0.0019063952209441499
