Columns,Run123,Run124,Run125,Run126,Run127,Run128,Run129,Run130,Run131,Run132,Run133,Run134,Run135,Run136,Run137,Run138,Run139,Run140,Run141,Run142,Run143,Run144,Run145,Run146,Run147,Average,SD
Distribution of Secondary structure(7):,0.005793251062672723,0.0031049162127566293,0.004775381497905269,0.0030376199153577723,0.007295032442727327,0.0049610180081097344,0.0040251771443992924,0.017187050092175252,0.013785071930695066,0.009070009739665597,0.008081919922953523,0.00866345057408108,0.012710720818209547,0.005698211047369558,0.012405975601816683,0.009066382564996277,0.002192652178999706,0.007422453536653644,0.010488207426130866,0.00689407359464345,0.003351697152138132,0.014071672983323093,0.011844834480662534,0.009092238370244034,0.007330796196158874,0.008093992579793827,0.0038628174730867162
Mass,0.016422043595052945,0.008512979598195603,0.01332871163973499,0.007507594276904775,0.0040412748526134495,0.01006083406697033,0.006101837256783319,0.003925413495144554,0.009973622083800444,0.005234132600794442,0.012452123050123748,0.005006160499142907,0.008704788347340031,0.0061637026202333535,0.00639351734796906,0.02025551267839577,0.0027922704818648275,0.003869746270205584,0.005616173842558163,0.012674378713917469,0.006426149255982831,0.002040529637909423,0.005933226337570437,0.0029314024449158217,0.01044547689762656,0.007872544075670033,0.004391686853720924
Transition of Secondary structure(1):,0.002621620435495015,0.015482092458795806,0.005209348232336344,0.003968333591837758,0.01186422944488891,0.004917913493747014,0.012735458425943423,0.010284651908550798,0.001006740739971578,0.005596849338379035,0.0052401474447888495,0.013121041569914291,0.008819524484169184,0.013953676483402098,0.0034740049089981044,0.00717473633324778,0.0035160242716763216,0.005097054765995615,0.005634321506475248,0.0033832006613644895,0.00408448886460714,0.008823704766648361,0.007832960132115834,0.004162327852835951,0.01117468265316601,0.007167165390774039,0.0039282603250886524
Distribution of Secondary structure(10):,0.008532624224117713,0.005458487086768233,0.0032518334551544133,0.005520654271812629,0.0018394001815621403,0.01191000681295207,0.0055019677169395554,0.006677993683010829,0.00604770223590499,0.00826688926107006,0.006065325791250936,0.011008190253732477,0.015176825326744012,0.00989045501054477,0.005317867358299434,0.006646044311848021,0.005858707868486045,0.005577387482643243,0.007154231732151601,0.00639739792450789,0.006157185114550343,0.00873115710310997,0.004484683254423821,0.003425603251559693,0.004198288192487491,0.006763876356225294,0.0028611235283102286
Distribution of Secondary structure(4):,0.0052417950298355,0.004616234938596777,0.004489626766757878,0.004786253254896508,0.007267019706888699,0.008838981003922221,0.004017934014560936,0.007266392155723136,0.0037601970605799944,0.005277550044894791,0.0038185403500618866,0.0053795698448125435,0.0028167641235545427,0.015982578047828794,0.0050510596501277035,0.007020918305561278,0.003975847470054056,0.0013862588055879035,0.0040146033146417496,0.0023117856475137095,0.007967087145351864,0.006465436353745083,0.018165533812360316,0.017185859538697345,0.004333622369151223,0.006457497950228257,0.004296668498172147
Distribution of Polarizability(12):,0.006258672830867375,0.004747596210177109,0.003773328017409287,0.0033766186089906752,0.003016790751263007,0.004920482611746914,0.011006084016361715,0.003189200432386534,0.004830717931317943,0.01681129596436953,0.013033062743455467,0.00824069724567274,0.0037925348695426104,0.004628444716674554,0.0043625295918360155,0.00631287424400365,0.0070698208558500645,0.00296410018920052,0.004329759267066261,0.00701063620834877,0.00872939981220831,0.007341660740367038,0.00610983953005242,0.0023238860443737376,0.012594735744182094,0.006430990767108974,0.0035472009073880114
Composition of Polarizability(2):,0.013388210648295974,0.00570897630328604,0.00606277964969152,0.0016649814287578327,0.0036962517401099167,0.004610362917438681,0.011887722201939984,0.006970731045646363,0.007063619775122429,0.005614658299400429,0.015714410528901813,0.004837839502909039,0.002652631353227803,0.007892353384068442,0.004371023918616897,0.006166203214122003,0.002833576819254555,0.00838221536307766,0.003078906406329894,0.007630860796877772,0.004036573795883915,0.0030548441611633437,0.006744364529046911,0.008789139289867336,0.007354279884958567,0.006408300678319805,0.0033238665841286035
Transition of No. of hydrogen bond acceptor in side chain(3):,0.006597478158348169,0.0029444652333776365,0.0045255376380326,0.011233822252200537,0.006408020709564464,0.00646624807662038,0.004534305928621112,0.004737438919507512,0.005671713925715022,0.008265374461103663,0.005628420162553783,0.007580841711675751,0.011027178264073482,0.002347437659112719,0.006537011467208856,0.009300829760288995,0.00437969862087385,0.0004976404976404975,0.01379145366670246,0.004038412217412735,0.005145107203684238,0.006475524941846664,0.006064620910006548,0.004372389257208592,0.00843406111315938,0.006280201310261587,0.002871158775352682
Distribution of Polarizability(9):,0.006971543582917236,0.011770475592143524,0.009693253547655345,0.011520206038442364,0.005075500782995579,0.0043301748257578284,0.00976400717627561,0.0058688086885069135,0.0034930795068881214,0.016114914823995644,0.004047333929275504,0.003906695088159459,0.004492598674770796,0.008622723178419197,0.0013408824697922067,0.007184172259886304,0.0031463038359062934,0.006103520603044349,0.007438155347490664,0.005260181108773771,0.003950524856442091,0.008082454286557822,0.002547699052879654,0.0035129809887033065,0.0012872681706662312,0.006221018336653833,0.003485017995199989
Composition of Secondary structure(1):,0.006635339714801344,0.008006776886376656,0.009872216883310662,0.006380238919727645,0.007507207022274425,0.007017160770011955,0.005773809742167468,0.00637690058287799,0.00598425090027763,0.003957230842727365,0.007776901490171991,0.007774011810106921,0.004647100592844317,0.006427278410933228,0.007950688732563658,0.0023278326446695727,0.001899756793356433,0.0019675280490877847,0.009001456584532337,0.004278106128724056,0.003566150123028028,0.005522826755244555,0.009129638559797358,0.008847809817368782,0.00564911688969538,0.006171093425867103,0.00220311844056573
Composition of Surface tension(2):,0.01146772862723843,0.006701311306864427,0.0067288769287217835,0.006814669391253422,0.004764138729086105,0.0029908049472547093,0.010867639661747001,0.007525585322670229,0.004613104698673387,0.004583916518175588,0.004018473616358178,0.0031639151763506925,0.004518574291776879,0.005766616975836274,0.005573962399482628,0.004674134401633143,0.005429249165277242,0.003555511868546786,0.018300224980185232,0.003158201496157671,0.0051658190582633,0.007054474267703954,0.006253147465240856,0.0024029074378702216,0.007758183669275191,0.006154046896065734,0.0032939666147431164
Distribution of Secondary structure(11):,0.005045992982295522,0.004029470659282552,0.009742283741502796,0.006211210935824813,0.005111919006535546,0.004375963205877127,0.009888561282963691,0.012213984629510724,0.006889895309920089,0.001499536021861976,0.009819649205079026,0.005337877836723712,0.003849088302309255,0.004041344875008065,0.005866665753092662,0.009619718782102072,0.006209097005631377,0.007356699039599841,0.004331241202941221,0.006987875733647628,0.006643436784500325,0.006833108022701679,0.005136929466668334,0.0018351736387749134,0.004607926758485649,0.006139386007313624,0.002529475302309606
Transition of Surface tension(2):,0.004670992997305404,0.004257885695624305,0.0050282187325438365,0.0026177928973400797,0.009832411262593363,0.005896169037839067,0.006435136311224919,0.003234124946446622,0.005724370022820859,0.0034143005552939843,0.0024950746975863384,0.004793657547159986,0.006645315395338127,0.018927890631350145,0.004711570297869573,0.004080181666510078,0.0011926778834134713,0.001848589043028456,0.006969227413410512,0.009519843244075205,0.006823227121370707,0.010392122779638946,0.004520648848765955,0.010121954427930083,0.007249826327669031,0.006056128391365961,0.0036189533636256034
Distribution of Normalized vdW volumes(9):,0.006485600182148241,0.0044315622930598455,0.004064798125655803,0.010432812839761352,0.006598145510937931,0.00916655682012867,0.007353385274685273,0.004034494014583168,0.0030608518113705084,0.01589412469644077,0.009561373375456213,0.0050331622498253955,0.005000205663352322,0.005635741055935967,0.004965269363258495,0.002357405294575483,0.011028699812333892,0.005134142598354028,0.010792581788805853,0.0019347167074760933,0.003134933232392862,0.0051961483982534825,0.002259477624927279,0.0031997485361089585,0.004030158310892769,0.006031443823228826,0.0033338770984282866
Composition of Surface tension(1):,0.0033009746932390134,0.004846585198730967,0.006269593369106073,0.004320224349341322,0.01892458146842832,0.0017137347831218863,0.011228232145805735,0.004270975642615451,0.00464504842659382,0.0027770074510435503,0.002271951898727342,0.00756405085651638,0.003671866518765467,0.008516925070399594,0.0027426476928790154,0.004246275198031348,0.00327676370108424,0.0034915663922644143,0.002086992807764167,0.0033599941967909675,0.016570999081320755,0.00332076361058225,0.010758631954583589,0.009641996085161331,0.006171000777874291,0.0059995753348308515,0.004345624086128256
Transition of No.of hydrogen bond donnor in side chain(3):,0.006471533093216762,0.004480301751181964,0.00212781555341272,0.004729971128534326,0.007439795717341058,0.0052271698875314375,0.004060415778607801,0.0027958783899529153,0.009182504663409577,0.005815031673439849,0.0020836752993218105,0.0038146486005640034,0.014544911491608798,0.006293908966081903,0.0015282950277406848,0.007099934811528253,0.004679087719809804,0.014387740705703861,0.0035052340368579267,0.0028613646442656395,0.007877502098730902,0.009867250000050124,0.0027100881980702627,0.00537231593861357,0.004897787738498,0.005754166516562957,0.0033346492091345568
Transition of Hydrophobicity(3):,0.006991586923250232,0.003690416699040349,0.003431467767911537,0.006224740540458469,0.003832034703225949,0.007910926772591613,0.0015356431577340532,0.006084923404510629,0.0034455232229657416,0.009199842083841357,0.004406879993475729,0.005202844789397717,0.008365928546343819,0.0019853402088836716,0.012962671072707306,0.003917306720022455,0.009143587745683718,0.009773423624153073,0.006351797782134072,0.00562117878482931,0.0007533828699458411,0.0076182158011588175,0.006668853636973694,0.006103940588272838,0.002575054975137802,0.005751900496585992,0.002834835923981048
Transition of Surface tension(3):,0.0024592194444856457,0.007971204393722444,0.004787742072461395,0.006561982347003904,0.0030676068368246977,0.007074727675157976,0.00589572555269934,0.0037694354856298022,0.003625540016680213,0.006418397249946089,0.007034367105595668,0.004788169989633826,0.008511460649250232,0.005081902831257426,0.0012623057130993639,0.00627273299501389,0.002321349953272747,0.002337020021048947,0.010946159356881344,0.006209604797690941,0.00806466042891297,0.001833647438269932,0.004670455910720115,0.013812861291517984,0.007072018548289119,0.005674011924202641,0.0028660153340556707
Distribution of No.of hydrogen bond donnor in side chain(11):,0.00157551405637861,0.007870286777909572,0.006548322561178594,0.007429623539263956,0.0027926760417982767,0.0032179639629102397,0.004041520031204456,0.004438263835361647,0.008553997926581914,0.005975628860989801,0.0031449706897381594,0.005837503050679139,0.009486089419819198,0.007257979505099686,0.009098206102590753,0.004183110017468823,0.011993316778383572,0.01739553882491006,0.0033718779865855152,0.0014961847225038866,0.0028857904834618127,0.005242500095688961,0.002429153935847592,0.0019652984095363557,0.002930281920769313,0.005646463981466395,0.0036311216672271825
Distribution of CLogP(12):,0.003550133920813483,0.018141198698112034,0.011709510214644791,0.005789126417544797,0.011656054128351903,0.0028055971182039817,0.009458414150251546,0.0022138938263517186,0.007073824746022076,0.001762469737543023,0.0031055965397275387,0.0020631902723883626,0.002974065125984037,0.002248379923587394,0.0041333046546576544,0.00391807983081505,0.0017698606430629072,0.005872690488842199,0.00899646737183771,0.004685098122187834,0.010423613244826244,0.004041446439051524,0.007013356813702037,0.004006613946671003,0.0009482528109886598,0.0056144095674467796,0.004036858085213304
Distribution of Polarizability(5):,0.003469037966683029,0.010932394791792423,0.0032168618200418358,0.0014100822268347782,0.005870132823766283,0.00399578827734151,0.003365137335549127,0.008755118578226284,0.0073413015982431995,0.005412496217313803,0.007666073086731707,0.0077056136208721,0.004536707358487367,0.0038985245726781085,0.004672957340511732,0.0038618279054825925,0.008878928275611644,0.0071397508864214,0.005155571968917499,0.001510371538097102,0.0025901551633051184,0.008816744887512617,0.006958930698709391,0.007669323211528776,0.0047825271592373975,0.0055844943723958726,0.0024472375923945146
Distribution of Surface tension(5):,0.003679196988319051,0.010948501354462448,0.0010368411389912585,0.004520033396090686,0.007482887431676114,0.0062811992977417005,0.005940527451396337,0.0031197815311315383,0.0036221947296702396,0.005656777939911773,0.009973865189559917,0.00606079317501524,0.0003231731023084405,0.00391873519319788,0.007277037900702816,0.004728951817756819,0.006099599862963969,0.010351343762723392,0.0026418647711150822,0.005581294102553719,0.002024447318849528,0.004859734176969153,0.0072026367581926095,0.010469973643485016,0.00552378252244668,0.005573006982289256,0.0027802386237725913
Transition of Secondary structure(2):,0.006670566012552851,0.0051760998592314325,0.002065443664579879,0.007966361082948025,0.003869626823606627,0.009149968047923897,0.006135432116422056,0.0051461109386124184,0.006875926814394167,0.0006698224349700603,0.004005860603163592,0.00421210522472799,0.011841382229126814,0.005914961675022245,0.004842979593556397,0.00754115224370546,0.003001872146244845,0.001975676728643093,0.0045614212677517725,0.011614248521594737,0.00671625825465973,0.004729516300717814,0.0026310470439556365,0.00800041771199972,0.003542692191602316,0.005554277981268543,0.0027364329585424793
Distribution of CLogP(11):,0.002137145873267918,0.003895858652843515,0.012162397587703582,0.0034091465949508404,0.004837819196856281,0.00326837487325416,0.011183187086610827,0.005313113150382273,0.003577160302141316,0.00991855908424032,0.008407080262972941,0.0030307333028306597,0.00465329876032958,0.006384441008477699,0.003951411041442434,0.0054504747021880285,0.00771825578750807,0.0037225399415792876,0.002575469759814915,0.007296643891573282,0.007169675434654007,0.004809695454009461,0.0038547049706596026,0.0031291745372891405,0.005383167226645852,0.005489581139369041,0.002634588728214421
K,0.005073006194525893,0.0027458271882134944,0.0038644275769452287,0.011812443677605642,0.005380464795483693,0.00701783495897356,0.003535943318155291,0.004679894217227433,0.005291538994324195,0.00511736995065667,0.004047084687579876,0.0036522319771739257,0.004746137321165603,0.004838607472981555,0.0012900047134711563,0.004001122829345379,0.01071588021385836,0.007956278641010069,0.010467067044214849,0.0057747944854666155,0.008655347068989983,0.0015660256174097043,0.003892532268003231,0.0033736919322005393,0.007088782930569225,0.005463373603022047,0.002659652091993795
Distribution of Solvent accessibility(11):,0.007315023153180009,0.004447623531766757,0.003666560005362107,0.0026811676042922438,0.004117216009959932,0.0038544899573632863,0.00812451781212054,0.0025328601536013656,0.007196597155295901,0.003942836849882224,0.012334912436011522,0.0067689355796895,0.0058490778277911415,0.00638486268173925,0.0048367821702985,0.009486145033681875,0.008711361635274962,0.0034941353012712395,0.004360948635551155,0.005154185061755742,0.005030600814691532,0.0066224201175345224,0.0017685895548970878,0.0013741410816697495,0.006526453131977618,0.00546329773186639,0.0024986715953826174
Distribution of CLogP(9):,0.0038795328229193713,0.0030719935473699895,0.015041449549904344,0.0016090268826246365,0.0037179144853479035,0.009186457607531819,0.008542381052827393,0.005205701576765375,0.0036567598012270013,0.0018333309905148568,0.005754278033465848,0.0072574503999062135,0.005760817883485781,0.001648462335267806,0.013289263541442005,0.0049452328832130694,0.001562782204962979,0.005207691227611729,0.003970281369157599,0.008124227056310001,0.007100972556392871,0.0018849177929534814,0.0018828292319577188,0.01018022922951108,0.002225093156738567,0.005461563088776378,0.003593376224509322
Composition of Secondary structure(2):,0.006795461086362669,0.009452756794205456,0.007708980956089766,0.005533538051491147,0.008164589815595475,0.004431192137562264,0.005219904581947079,0.007973072855047784,0.004025219794121308,0.0041433776244142965,0.004345573774542665,0.007773324571874636,0.0046369719191008815,0.0032698805263044963,0.004937333149327082,0.004861219545021902,0.006129505799056269,0.0010652319060032423,0.005851761743471573,0.0017464414816057588,0.006145813607828172,0.0024051975793633385,0.008048565887499573,0.005266122164463118,0.005973451094246351,0.005436179537861852,0.002044726160770404
Composition of Normalized vdW volumes(2):,0.005802786932167726,0.00570527097082556,0.002850557381727332,0.003252757005279294,0.004510038209279117,0.004303455211818133,0.007723208000478547,0.004810078976139539,0.002400474104560878,0.004174047625725685,0.009645628872305724,0.004937834379818897,0.005202491547207439,0.009031532208920376,0.004579132443899935,0.00331248341487428,0.003635502115934983,0.0069792371945581735,0.0035619469874223868,0.005206785289200087,0.0022002718673935235,0.0051273359588011125,0.00826058074384663,0.005536826615467627,0.01110038067949787,0.005354025789486034,0.002245725772506431
Distribution of Normalized vdW volumes(12):,0.005854843522104871,0.003761235755341713,0.007424370965445078,0.0010267478018327156,0.00595958954161031,0.007236438273555151,0.00632510594506188,0.005556407751532927,0.005047516764813928,0.009636083789932574,0.0053454962341593255,0.006926222754133397,0.001992167712294665,0.0035537936944148234,0.003129319713803219,0.01020613039827829,0.00994552843192336,0.006099823038129718,0.00892547332151162,0.005301794218576329,0.0022085088928450007,0.0028975598491415133,0.005914543769629324,0.0010143793605248645,0.0025287100525653093,0.005352711662126476,0.002623617825866531
