Columns,Run123,Run124,Run125,Run126,Run127,Run128,Run129,Run130,Run131,Run132,Run133,Run134,Run135,Run136,Run137,Run138,Run139,Run140,Run141,Run142,Run143,Run144,Run145,Run146,Run147,Average,SD
Mass,0.007218101163189428,0.014669103333101459,0.006808492164084122,0.007864879564388078,0.0069787301478693555,0.003521472858657462,0.012928963202870722,0.04017099176250208,0.011295407440332248,0.0036693249618844127,0.006526669010583306,0.006758084547305027,0.0015894465894465898,0.018303790268440617,0.007358399400439405,0.010397007498061295,0.0058551412787407565,0.0019114140019937116,0.0035757970247662146,0.0035098477930877226,0.006548440403504255,0.013256699365297182,0.007941015209141975,0.006623521089299035,0.0033085724701578363,0.008743572501965773,0.007575944442239982
Composition of Surface tension(2):,0.01047357936136819,0.002168753445917133,0.003924922296721974,0.003520482516566877,0.01791046760788496,0.006837188241051498,0.009594041520819776,0.009280825743980385,0.0011647955275998938,0.010023186620096375,0.006659183466632912,0.006230655290854212,0.0009544833949595849,0.009019057493204358,0.00199762277528395,0.004830735432380104,0.004663942947085697,0.007855941017509803,0.005276980573397245,0.0025040230433509445,0.00886993345565617,0.023302779362807394,0.004707117093485295,0.004183939472161644,0.008972873828592387,0.00699710046117475,0.004971706890448414
Distribution of Charge(11):,0.0009756097560975609,0.011519567101339574,0.0058534077948199596,0.0037716002738131748,0.008609900592094148,0.005469018340725115,0.012162521472518603,0.002775037068689899,0.006399053093279007,0.009766417198066176,0.007808355578112013,0.002668296135658565,0.0020561930044688662,0.009375583294597574,0.017622349136570743,0.010511978633914103,0.002469430227582401,0.009498830577448065,0.0017666012713141892,0.005796775465982017,0.0009113756613756617,0.001698757550380183,0.005808270208834482,0.005641745223036576,0.017518968703450124,0.006738225734566751,0.00461978538518181
Distribution of Polarizability(12):,0.0,0.0015499140087554724,0.012285457418792478,0.009580062665908414,0.01337612079329416,0.005887490176165644,0.007173200303022878,0.0056398285111552305,0.0035467700311577087,0.004962159063189254,0.0094696299962769,0.006730935226624882,0.003632285181447614,0.006780981110081967,0.005090142263804136,0.0020520748194855338,0.009495968859144896,0.00981726413702886,0.003949947929897805,0.00752425211784723,0.007306519734985752,0.0061071040717579975,0.0042498958970428585,0.011456646262909946,0.007821915027201526,0.006619462624279166,0.003273852423784481
Distribution of CLogP(10):,0.005498270921079631,0.006029560610471638,0.01040836956204149,0.00801497671977465,0.008489279222477716,0.007264421022808295,0.010979634506431055,0.0019611479377104383,0.0059636197811639615,0.013094776871317255,0.009528222630277387,0.004972693237851835,0.0011011780437975233,0.01032784659840532,0.005283191696225943,0.003569751504385884,0.010333706699416549,0.0015635556076732545,0.011611608589942153,0.003456934212965659,0.0017959595441276476,0.00635288038490721,0.007710009731122644,0.006060442250864427,0.0025026485148190196,0.006554987456082344,0.003390092581022307
Distribution of No. of hydrogen bond acceptor in side chain(11):,0.005795579617925487,0.007053773444680801,0.0027041706664982534,0.003306202833036843,0.012524517803385015,0.002734582714749349,0.012084812797807551,0.007927788081152376,0.004463317602367848,0.009512486322866989,0.0053874425756057906,0.0059533721671750335,0.010605270694677453,0.008294343387046973,0.006715774837062486,0.003712511917670925,0.0038859546362924923,0.003175089703825336,0.008029261390137496,0.005783090085239765,0.008346841861418187,0.0019843785959950326,0.004280039017529203,0.007786155891945051,0.01176878165409366,0.006552621612007417,0.003036962359755747
Distribution of Solvent accessibility(11):,0.00537743582775292,0.004772328376885748,0.012237014619696982,0.0023519136723199508,0.0003077651515151516,0.005664514144935752,0.004446791487737232,0.002619509693790634,0.0037969622117203627,0.007757746330186088,0.014197448604662807,0.004394916853438155,0.003598925550935919,0.01955701023441981,0.003520128153015854,0.008931880945009222,0.009131980404305424,0.002968411491834432,0.008481292396567723,0.002588614352731327,0.007001207642243225,0.002391416682009871,0.009932584794543658,0.007231054266651857,0.008917354442231447,0.006487048333245662,0.004256094662160157
Distribution of Surface tension(7):,0.00820969086484294,0.00936391868263867,0.0008404040404040404,0.007618705446820231,0.00392640771467074,0.00731007229940512,0.002160584596723435,0.010044988915903396,0.003286301947980489,0.007933278928182453,0.0039003258282032088,0.002308214376109306,0.004664792029818758,0.007757528255893902,0.004407734234306244,0.002803823168467949,0.007431537929139007,0.006808746657359084,0.016929053918207905,0.008101431912452687,0.010703506971059389,0.0041606210736711705,0.00393994657428831,0.005401365715508928,0.006596740998469288,0.006264388923221066,0.0033740318089357864
Distribution of Hydrophobicity(7):,0.0093286917209553,0.0013465705099243999,0.006145892095728795,0.009106654395680534,0.003077388312052383,0.00548024670349081,0.0054560876566788,0.003402782937200695,0.005021454104735333,0.008584460633340542,0.0025615629043892587,0.0050193053146100775,0.0043258045447812634,0.004287527859819786,0.0021662247875480867,0.018262495517527295,0.0021891590340949187,0.003973248519343889,0.006429411895163409,0.007859651743573877,0.010075569291861814,0.005836629274887435,0.016705815150915248,0.0041745943445713266,0.005599774983639425,0.006256680169460588,0.0040241948842474175
Distribution of Normalized vdW volumes(9):,0.005827384607360486,0.0017510147180859737,0.00786748018166022,0.0030001447288046596,0.009990647735148787,0.005893280948237871,0.0036010477537281203,0.0017774758692246375,0.0036234147353240934,0.005810640674868447,0.007458936980770314,0.02434797774958432,0.00925506785295538,0.010016841652977471,0.0017578611942861437,0.004763504999812931,0.0037322388518834927,0.0054465008726522325,0.007439100157186067,0.0011186572060989763,0.006123544986875567,0.004327966539456293,0.003774868521166087,0.008949409671669456,0.006635491653664507,0.006171620033739302,0.004509030447701671
Distribution of Polarizability(9):,0.0048600239887638475,0.007049832631950628,0.003310267996741405,0.0058056884071653525,0.00937435772370682,0.0058258100313151725,0.004679419629938887,0.006796145010404451,0.005441573113256766,0.008830899869186939,0.007583263971371354,0.008174897828280854,0.002065317486208791,0.006194230574816667,0.009743386456225352,0.007544937845473551,0.008150964831842494,0.00398733724615195,0.006045180616050705,0.009023136743911994,0.0034577205272950506,0.0040723276721486975,0.00720473906823997,0.004303726816826379,0.0037121330426111102,0.006129492765195408,0.0020793490925220563
K,0.006080328150004651,0.009560676048102538,0.0031297592336522973,0.0028225127826347384,0.026049358723011062,0.004935745442389768,0.0005982905982905985,0.007196355643470336,0.0029992236349904423,0.006867729985171871,0.007526301069887366,0.006011243468592643,0.0023599702887282525,0.005613981541673895,0.007427464176374219,0.0032714814117253154,0.005069205789892862,0.004583655577362749,0.00383112428623834,0.013958069397511015,0.005775303611913546,0.0059200338662852734,0.002867684225236345,0.004368160950133122,0.003952870302469397,0.006111061208229705,0.00484573303593409
I,0.0033672938249400424,0.007248593863586354,0.006753258135745355,0.007070978126813781,0.0036824021577550937,0.001302401499675531,0.004299917612740008,0.013900913435225103,0.015425478593061266,0.003140466338668589,0.008168294341361591,0.001674549793299794,0.007633730620268867,0.004474379791187379,0.013284653938924341,0.0012870275286815786,0.0046358594855613975,0.0056701024274768645,0.004402343879025382,0.0018315939278937372,0.0026743652753923003,0.00805583691396802,0.008458627007002286,0.010069270039810268,0.0013168347087589639,0.0059931669306729565,0.0039262155962724084
Distribution of Polarizability(11):,0.008704947672269918,0.00319058240933241,0.009392150770647499,0.004448115210689601,0.0017946127946127947,0.002453060060972623,0.00984535065916209,0.0025203413596270735,0.009370648011004533,0.007856596143573376,0.012465910157125877,0.0022551052381497324,0.005608657559039253,0.004675876132451302,0.006914926753364529,0.003157487517779726,0.004517877204614204,0.005784449917712953,0.003391148325358853,0.004100484827983715,0.009603817100388129,0.004122236250661056,0.005805366881804588,0.015626649124816695,0.0018240331046538842,0.005977217247511856,0.0035046036570210836
Transition of Polarity(1):,0.0038369135433280166,0.008713422774910962,0.0038771817884983434,0.010155673684837023,0.012383083892285441,0.005919735812774176,0.00914372085814153,0.003973169126447256,0.015289605817602721,0.011406076436753348,0.005538106846619158,0.00531223820363785,0.003935680818108914,0.002848138523220074,0.002619427093127283,0.0005975363118220263,0.007267066724372471,0.0,0.001984292087266915,0.005360425802334582,0.008385970274023356,0.001326713244816693,0.0038561922046495556,0.004402468339093047,0.008163030855195864,0.005851834842554664,0.0037551507605971647
Transition of CLogP(3):,0.006558572687892261,0.020547962901481687,0.002085527049678166,0.006208083801208398,0.00505696012787565,0.002529513099696227,0.0030215769116631176,0.006742614093341257,0.005071517359299139,0.0015697877391425792,0.004180742812796944,0.004668285989486823,0.011123135995075212,0.009227168215113763,0.00321862263881389,0.0018124828882246683,0.010452776824511184,0.006211303096858212,0.003609261698436272,0.004836383586061789,0.01188899568851702,0.005736712665010579,0.003952064619543379,0.0023247852321884393,0.0032385909632364246,0.005834937147406123,0.004115914468584705
