Columns,Run123,Run124,Run125,Run126,Run127,Run128,Run129,Run130,Run131,Run132,Run133,Run134,Run135,Run136,Run137,Run138,Run139,Run140,Run141,Run142,Run143,Run144,Run145,Run146,Run147,Average,SD
Distribution of Secondary structure(7):,0.0026592979786319603,0.006377871371682816,0.006550026397249903,0.008466438442231067,0.01672237564224542,0.008602285987739962,0.008294102603853106,0.002830782315027802,0.006229855745713434,0.014298635814811146,0.007301368430320786,0.007487875229896308,0.0032878816463555276,0.0047531565902314945,0.022418141756751993,0.006636902705519749,0.005981652312250511,0.008252333374631163,0.004026310866784294,0.0054470256477669385,0.011521898127081084,0.005800833771308102,0.006930178021570604,0.011853215714924604,0.018455325045640233,0.0084474308616088,0.004844600681415346
Mass,0.016277971723805323,0.00520322439852523,0.004432181339288344,0.016700836024528442,0.005363728056073273,0.015430130834138548,0.007065790906633133,0.0066718913130103885,0.004113859584239406,0.007468088803128151,0.0077778455895886394,0.006803956353770357,0.003833795008390555,0.007968135783194394,0.0020784399393989055,0.012689916649643479,0.009378988744672422,0.006544805744707609,0.006132838647460182,0.003078703929291787,0.009760225177791314,0.0032274402514000833,0.010735081736717413,0.006601960421753481,0.005408432072072122,0.007629930761328919,0.003955681470826883
Distribution of Secondary structure(10):,0.0031806298296853074,0.0027134291600952754,0.004921169403150726,0.0042504200007671186,0.0053393800858034125,0.03262518311193719,0.00277976502774117,0.011163271657989866,0.008088791229705114,0.014064437607390878,0.004022611702703692,0.00697225671673725,0.006099001403045613,0.008133597306308533,0.013097429929030392,0.004646467118180104,0.003870803687485257,0.005077625215994317,0.0052959617130378285,0.007101614722879103,0.01411105367273636,0.010304592399217433,0.0028100871955435143,0.0014820967146548548,0.00501530295201427,0.0074866791825533826,0.006222783837726515
Transition of No. of hydrogen bond acceptor in side chain(3):,0.008145519668443785,0.010933331474118265,0.005740292383966909,0.005186527945422617,0.0040946164912114965,0.003827433372160183,0.008206909289153227,0.003227862885799777,0.005572354443924303,0.0030839486383148155,0.007957459866803879,0.0034910644942605412,0.00921671181969904,0.008870345950472359,0.007433528972821042,0.005527560089851248,0.0018747729475598945,0.011643385528793895,0.007891784389776363,0.004204889608135562,0.030386625363305476,0.00971826992297399,0.0069663188185076705,0.004939725741442852,0.007050426250254007,0.007407666654286927,0.005321938374483692
Transition of Surface tension(2):,0.005752191000058166,0.0037441270037867334,0.0071500197939661425,0.004251674765544799,0.0057384200978150175,0.005259303780004519,0.002161532132559083,0.004055528831899169,0.004481961620195912,0.011225288493315838,0.005471038516045175,0.009951068888856046,0.012172850307980264,0.00977139887610606,0.010390874770793347,0.003708633471111789,0.004715985092379675,0.002340507703868504,0.006041093408507309,0.010623773437354506,0.0011164259343531054,0.009454025204152165,0.006559705221539106,0.0059857486415615295,0.010415535865351272,0.006501548514364209,0.0030772761095028893
Transition of Normalized vdW volumes(3):,0.004100754844438078,0.007778666073432662,0.004814535707004365,0.00797067820999303,0.00832704063668114,0.01128203588599851,0.002290476838727242,0.009170349819367436,0.00553103742274229,0.012226408391445114,0.004558516291328383,0.007074801214314641,0.005134331307368896,0.0040942568156799464,0.008839566086740606,0.009171067905582128,0.0035622845356831257,0.003220770646152177,0.00485496828514599,0.005375190654816281,0.005959810950831982,0.004602981181934971,0.010227981918041487,0.0031419211409848967,0.004737228001200463,0.006321906430625433,0.002655389766717753
Distribution of Secondary structure(9):,0.007760650327501344,0.005115848419119503,0.004707601547312379,0.005574601480912739,0.007842980734487321,0.0071592424943409064,0.006132552488176182,0.006405569584460588,0.018406507590502184,0.002103508533243408,0.007580262175423753,0.007501086500443218,0.001287467709069742,0.005511154571233411,0.008572163709774216,0.005969333920274394,0.01158468137277242,0.0015190127377147076,0.004524655900707951,0.005698647658026274,0.006749240208214684,0.006427931159278164,0.005009616391545869,0.0028390541845191263,0.005688461495516454,0.006306873315782838,0.0033260720238716766
Composition of Polarizability(2):,0.006326482409836379,0.0055161998069591985,0.009435443762613356,0.00924038781265917,0.010696787102666193,0.00976115433747385,0.007830139667485065,0.008014444648918918,0.004413167005988056,0.005001670525051469,0.004690844571286609,0.004295105492979708,0.00798754775689169,0.005700836771769714,0.005134361273136462,0.0020467917188699216,0.007242337194712857,0.004385758431207382,0.004375129831727798,0.002177029115211177,0.0037204721071930446,0.008875754073400379,0.007467831970514751,0.007445451402469649,0.0050012857274714,0.006271296580739768,0.002307212650197707
Distribution of Polarizability(8):,0.008219540824682587,0.007646641932815612,0.005751175451788216,0.0,0.01231250695117643,0.0057259834339023355,0.006182031254373603,0.0014148201546530478,0.0040632284699459835,0.0035530783980761787,0.004906189833140688,0.008446248347047701,0.01350700973588612,0.006017399093072242,0.018661093044107166,0.004811763965623491,0.003238178645757388,0.007550968359445762,0.014593628226743016,0.004810857084508614,0.0017662592484686517,0.005223014766574048,0.0035628521858115836,0.0016210669805811326,0.003156816366657925,0.006269694110193581,0.004358326661813663
Distribution of No.of hydrogen bond donnor in side chain(5):,0.015022818660055606,0.0019422428795105504,0.005140404855098368,0.0030448688777269216,0.0049851366246925705,0.008522199922583507,0.002115199214221918,0.0043283097811746074,0.007879091447736455,0.007916066769635303,0.009593764279291298,0.00963094380449563,0.007067041492565341,0.0026028871437810586,0.0026312329003062174,0.003326662629824472,0.009791733972025074,0.0019332023613319665,0.0028537242922606677,0.004779440612754156,0.0071305497015356975,0.005175820895363071,0.008555385968488333,0.007584157140177338,0.006092032659523611,0.00598579675544639,0.003164849348506082
